release_id,release_datetime,module,environment,commits,lines_changed,test_coverage,defects_open,prior_failed_deploys,build_success_rate,lead_time_days,cycle_time_days,code_smells,vulnerabilities,team_experience_years,hour_of_day,day_of_week,deploy_failed
0,2024-10-17 21:03:49,mobile-app,staging,14,1950,0.814,2,2,0.91,5.37,2.98,24,6,4.1,9,5,1
1,2025-02-26 21:03:49,payments,dev,28,924,0.808,11,1,0.846,8.45,2.85,29,2,3.8,13,1,0
2,2025-08-17 21:03:49,mobile-app,prod,20,1192,0.639,15,0,0.891,4.32,2.18,42,6,3.8,10,5,1
3,2025-08-08 21:03:49,payments,qa,33,1634,0.788,12,1,0.951,3.09,2.68,29,2,2.9,10,4,1
4,2025-07-24 21:03:49,onboarding,dev,21,1597,0.779,15,0,0.872,5.08,3.86,32,0,2.0,20,1,1
5,2025-02-20 21:03:49,onboarding,staging,20,1595,0.783,10,1,0.847,5.27,2.62,20,5,2.7,22,1,1
6,2025-03-14 21:03:49,risk-engine,prod,24,1246,0.712,3,0,0.794,4.01,3.4,24,2,4.6,6,5,1
7,2025-06-10 21:03:49,payments,staging,15,1296,0.804,3,0,0.919,4.81,1.55,35,2,3.5,3,4,0
8,2025-05-02 21:03:49,core-banking,staging,26,1631,0.856,16,0,1.0,3.62,2.36,23,2,1.7,7,0,0
9,2025-02-14 21:03:49,risk-engine,dev,28,2002,0.92,26,2,0.821,1.74,3.27,25,2,2.5,8,5,0
10,2025-04-01 21:03:49,core-banking,staging,14,495,0.671,11,1,0.91,7.97,2.5,20,1,2.4,7,5,0
11,2025-09-01 21:03:49,payments,prod,34,1730,0.704,11,2,0.936,5.09,1.77,19,4,4.9,5,6,1
12,2025-03-05 21:03:49,payments,qa,27,1253,0.831,14,1,0.915,3.55,1.63,54,9,3.0,8,4,0
13,2024-10-01 21:03:49,payments,prod,16,1885,0.681,11,0,0.927,8.81,3.09,42,0,3.1,18,4,1
14,2025-07-27 21:03:49,mobile-app,staging,34,704,0.723,9,0,0.98,7.08,4.34,33,1,3.0,3,4,1
15,2025-06-06 21:03:49,core-banking,qa,27,3010,0.908,7,1,0.783,4.82,3.32,49,1,2.5,8,3,1
16,2025-08-21 21:03:49,internet-banking,dev,47,1182,0.632,11,2,0.783,10.26,1.71,21,9,6.4,11,4,1
17,2024-11-24 21:03:49,mobile-app,staging,15,1352,0.798,14,0,0.889,3.25,2.76,31,4,2.6,12,4,1
18,2025-07-14 21:03:49,payments,prod,25,1500,0.648,13,0,1.0,10.19,4.57,39,1,2.0,2,0,0
19,2025-05-24 21:03:49,core-banking,staging,34,1772,0.609,9,1,0.904,5.42,2.9,31,4,4.8,18,2,1
20,2024-12-15 21:03:49,payments,prod,21,445,0.753,20,0,0.969,5.34,2.94,22,2,4.6,20,3,1
21,2025-03-02 21:03:49,onboarding,dev,42,1763,0.803,10,1,0.844,7.98,1.82,44,3,4.5,14,5,1
22,2025-03-24 21:03:49,internet-banking,staging,24,796,0.668,19,1,0.844,3.97,3.03,20,1,3.5,0,4,1
23,2025-05-20 21:03:49,onboarding,prod,25,1748,0.882,1,2,0.947,2.84,4.48,39,6,2.6,17,2,0
24,2025-07-10 21:03:49,mobile-app,prod,27,981,0.705,11,0,0.98,3.88,2.87,52,1,2.3,14,3,1
25,2025-05-10 21:03:49,internet-banking,qa,33,2005,0.775,23,1,0.74,9.21,2.54,36,7,1.4,23,3,1
26,2024-09-19 21:03:49,payments,dev,30,1665,0.579,0,2,0.862,6.92,3.7,36,6,3.5,5,1,1
27,2025-07-23 21:03:49,mobile-app,prod,33,1263,0.772,10,0,0.966,2.01,1.7,17,0,2.5,23,6,0
28,2025-07-20 21:03:49,mobile-app,staging,38,1458,0.855,12,2,0.852,3.04,2.11,30,6,5.1,12,0,1
29,2024-09-16 21:03:49,core-banking,prod,23,401,0.813,8,0,0.814,4.69,3.43,32,4,3.6,12,2,1
30,2025-03-30 21:03:49,mobile-app,staging,21,2168,0.758,11,0,1.0,10.15,3.07,36,7,2.3,9,4,1
31,2024-11-10 21:03:49,risk-engine,prod,9,256,0.608,9,0,1.0,8.21,2.04,39,2,2.9,14,2,0
32,2025-01-18 21:03:49,onboarding,prod,13,1503,0.98,13,1,0.907,7.16,2.94,32,1,3.7,9,3,1
33,2024-10-05 21:03:49,core-banking,qa,35,1719,0.691,14,0,0.975,2.34,2.66,11,0,4.7,5,4,1
34,2025-03-19 21:03:49,risk-engine,qa,19,2952,0.763,9,1,0.775,5.41,3.1,33,6,3.6,17,1,0
35,2025-08-16 21:03:49,internet-banking,qa,15,967,0.854,11,1,0.865,8.91,3.13,38,8,2.8,5,6,1
36,2025-05-03 21:03:49,payments,dev,31,1176,0.835,0,0,0.765,4.35,3.25,32,3,3.0,17,2,1
37,2025-08-02 21:03:49,risk-engine,prod,28,1833,0.75,22,1,0.875,4.49,1.97,20,1,3.1,15,4,1
38,2024-09-18 21:03:49,risk-engine,staging,32,1404,0.655,14,0,0.784,5.86,3.26,24,4,1.6,21,3,0
39,2025-05-10 21:03:49,internet-banking,qa,0,806,0.691,6,0,1.0,3.65,2.16,37,8,1.9,19,5,0
40,2025-05-05 21:03:49,risk-engine,prod,8,731,0.678,9,3,0.919,2.45,3.52,28,7,2.5,6,6,0
41,2024-12-11 21:03:49,core-banking,staging,8,1822,0.617,13,1,0.936,4.39,1.72,43,4,2.5,5,6,1
42,2025-08-28 21:03:49,onboarding,staging,18,1782,0.667,9,1,0.817,1.17,4.61,65,2,1.1,2,1,0
43,2025-07-28 21:03:49,payments,prod,30,1814,0.571,15,3,0.914,5.33,2.86,42,0,3.4,5,3,1
44,2024-10-22 21:03:49,risk-engine,prod,13,1852,0.752,7,1,0.997,5.35,1.31,34,1,2.8,9,1,1
45,2025-08-06 21:03:49,internet-banking,prod,19,38,0.798,13,0,0.795,7.67,3.35,63,5,3.6,15,3,1
46,2025-08-27 21:03:49,internet-banking,qa,19,1238,0.672,15,0,0.863,5.15,3.31,32,6,0.7,7,0,1
47,2025-04-11 21:03:49,core-banking,staging,15,1379,0.831,10,0,0.895,8.1,2.02,24,5,3.0,3,0,1
48,2025-02-13 21:03:49,internet-banking,prod,24,1373,0.598,4,1,0.872,3.96,2.9,48,0,1.6,8,1,1
49,2024-12-14 21:03:49,internet-banking,staging,13,828,0.765,12,0,0.885,6.56,3.16,44,6,1.4,11,1,1
50,2024-12-08 21:03:49,onboarding,prod,6,1559,0.813,20,0,0.87,4.21,3.01,31,0,5.5,1,2,0
51,2024-11-08 21:03:49,payments,prod,31,1765,0.845,15,0,0.951,6.68,1.22,36,2,1.8,7,5,1
52,2024-10-30 21:03:49,internet-banking,qa,38,1507,0.74,6,0,0.905,3.39,2.95,34,9,4.2,13,6,0
53,2025-02-13 21:03:49,onboarding,qa,14,1409,0.645,5,0,0.931,2.43,2.88,46,7,4.3,14,4,1
54,2025-03-25 21:03:49,risk-engine,dev,28,2272,0.83,11,2,0.874,6.43,2.8,28,4,2.6,18,6,1
55,2024-11-12 21:03:49,mobile-app,staging,27,816,0.672,19,2,0.925,3.68,0.88,12,4,3.2,2,5,0
56,2025-03-28 21:03:49,mobile-app,prod,40,823,0.682,8,1,0.874,8.85,4.84,30,9,3.2,22,6,1
57,2025-05-01 21:03:49,payments,prod,56,2010,0.649,16,2,0.861,7.82,3.03,38,4,3.6,1,2,0
58,2025-06-07 21:03:49,payments,prod,10,1464,0.728,8,0,0.793,5.19,2.42,34,4,2.1,5,4,1
59,2025-08-03 21:03:49,core-banking,staging,24,1367,0.71,11,2,0.976,3.78,1.83,21,4,4.6,10,0,0
60,2025-06-13 21:03:49,onboarding,prod,19,1254,0.724,10,2,0.846,4.28,3.48,16,5,3.3,1,1,0
61,2025-02-11 21:03:49,core-banking,staging,22,733,0.727,6,0,0.932,7.11,2.38,46,7,4.8,17,1,1
62,2025-01-01 21:03:49,core-banking,staging,16,1571,0.663,11,1,0.886,6.83,2.77,35,4,3.7,20,6,1
63,2025-01-28 21:03:49,onboarding,prod,13,1447,0.814,16,2,0.971,6.98,4.2,38,2,3.6,3,5,1
64,2025-01-28 21:03:49,risk-engine,staging,29,1786,0.604,8,0,0.861,10.49,3.0,39,8,3.3,6,4,1
65,2025-04-04 21:03:49,internet-banking,prod,22,1054,0.812,12,0,0.892,6.45,3.62,23,0,4.4,15,4,1
66,2025-04-27 21:03:49,internet-banking,staging,9,1637,0.794,13,0,0.788,6.66,2.7,29,6,4.8,17,5,1
67,2025-08-07 21:03:49,onboarding,prod,32,1572,0.733,16,1,0.842,5.17,3.63,35,5,3.9,17,4,1
68,2025-08-04 21:03:49,payments,qa,39,1199,0.554,6,1,0.904,5.45,2.66,42,5,3.5,23,3,1
69,2025-06-22 21:03:49,internet-banking,staging,3,1521,0.72,17,2,0.916,5.0,3.49,28,3,4.3,4,6,0
70,2025-01-12 21:03:49,payments,prod,34,1919,0.73,8,0,0.857,7.09,2.04,40,0,3.0,2,3,1
71,2025-05-28 21:03:49,payments,prod,26,1746,0.732,14,0,1.0,5.09,4.13,27,3,2.0,3,5,1
72,2025-05-28 21:03:49,mobile-app,prod,13,1362,0.561,7,0,1.0,11.62,2.41,52,4,3.0,5,1,0
73,2024-12-05 21:03:49,onboarding,prod,11,573,0.785,10,1,0.901,7.59,3.18,27,7,4.9,2,6,1
74,2025-01-01 21:03:49,risk-engine,staging,31,1859,0.772,6,1,0.792,4.41,4.3,45,8,2.9,5,6,1
75,2025-04-11 21:03:49,internet-banking,qa,36,1283,0.755,7,0,0.9,4.5,2.76,32,3,5.1,0,1,0
76,2024-12-21 21:03:49,mobile-app,qa,22,1088,0.858,11,1,0.905,6.07,2.91,35,9,0.6,15,1,0
77,2025-09-01 21:03:49,core-banking,prod,29,1269,0.822,17,0,0.977,6.55,2.44,43,4,3.2,22,6,1
78,2025-04-28 21:03:49,payments,qa,21,1347,0.569,7,1,1.0,9.6,2.59,30,0,1.1,6,2,0
79,2024-10-22 21:03:49,mobile-app,staging,17,1589,0.757,14,0,0.968,4.4,3.63,34,0,2.9,18,1,0
80,2024-10-19 21:03:49,risk-engine,qa,35,1346,0.795,21,1,0.802,4.15,4.48,22,0,2.7,1,0,0
81,2024-11-19 21:03:49,payments,staging,17,972,0.948,13,1,0.861,5.63,2.29,3,0,1.2,9,0,0
82,2025-09-01 21:03:49,mobile-app,staging,37,1746,0.798,7,0,0.958,4.85,3.56,41,2,2.0,12,3,0
83,2025-08-30 21:03:49,risk-engine,staging,28,1024,0.723,14,0,1.0,8.55,2.0,55,2,4.3,9,6,0
84,2025-06-08 21:03:49,risk-engine,prod,9,2080,0.872,8,1,0.842,4.74,3.77,34,9,2.7,23,2,1
85,2025-06-26 21:03:49,onboarding,dev,24,1430,0.636,15,1,0.947,9.07,4.45,30,5,2.5,14,0,1
86,2025-08-14 21:03:49,onboarding,qa,22,2216,0.503,1,1,0.905,6.5,1.67,34,10,4.1,16,1,1
87,2024-11-08 21:03:49,risk-engine,prod,27,2007,0.562,8,0,0.823,6.11,0.92,42,6,2.9,17,4,1
88,2025-08-22 21:03:49,risk-engine,qa,21,791,0.8,8,0,0.945,9.67,2.8,39,0,4.5,15,4,1
89,2025-06-30 21:03:49,onboarding,prod,27,2080,0.749,4,0,0.959,2.24,1.93,45,4,3.7,5,0,1
90,2025-09-11 21:03:49,internet-banking,dev,22,1021,0.763,14,1,0.817,10.62,3.33,26,6,3.1,7,6,0
91,2025-08-13 21:03:49,core-banking,qa,32,2647,0.767,10,2,0.867,5.49,2.62,45,0,4.1,12,2,0
92,2024-11-26 21:03:49,core-banking,prod,37,2075,0.569,16,1,0.772,5.95,3.36,41,4,3.5,10,4,1
93,2025-02-28 21:03:49,risk-engine,qa,23,448,0.729,18,0,0.927,4.17,2.33,52,2,3.7,6,6,1
94,2025-02-01 21:03:49,onboarding,qa,30,654,0.838,10,0,0.861,4.84,3.69,38,5,3.2,12,5,0
95,2025-05-10 21:03:49,internet-banking,prod,37,2320,0.635,23,1,0.978,6.06,2.78,32,5,4.7,4,4,1
96,2025-07-06 21:03:49,payments,staging,31,1947,0.693,7,0,0.769,6.47,2.92,29,0,1.8,22,2,1
97,2025-06-09 21:03:49,onboarding,staging,39,1413,0.749,23,1,0.875,4.81,2.67,41,3,2.8,10,4,0
98,2025-06-23 21:03:49,onboarding,prod,42,1714,0.816,8,0,0.937,7.98,3.04,19,0,1.6,8,0,1
99,2025-01-29 21:03:49,onboarding,prod,2,1385,0.704,22,2,0.869,9.41,3.45,41,4,3.6,20,1,1
100,2025-06-29 21:03:49,risk-engine,staging,28,1607,0.658,11,1,0.814,5.29,1.9,38,0,4.0,10,5,1
101,2025-01-16 21:03:49,risk-engine,qa,28,1372,0.77,1,1,1.0,6.26,3.07,41,6,1.0,12,5,0
102,2025-01-26 21:03:49,risk-engine,staging,21,339,0.593,0,2,0.885,5.15,4.08,49,3,0.9,11,2,1
103,2025-06-20 21:03:49,onboarding,staging,13,2705,0.624,15,2,0.826,9.03,2.74,45,4,3.1,15,6,1
104,2025-09-13 21:03:49,onboarding,qa,30,1737,0.563,8,2,0.871,3.25,2.37,26,6,4.1,22,6,1
105,2025-01-02 21:03:49,mobile-app,prod,13,935,0.657,6,0,0.958,2.83,3.03,32,5,3.2,20,1,1
106,2025-04-11 21:03:49,onboarding,staging,2,1707,0.839,11,1,0.844,5.76,1.38,6,6,2.1,10,3,0
107,2025-03-26 21:03:49,onboarding,qa,17,1726,0.765,13,2,1.0,3.86,2.95,48,7,1.6,9,3,1
108,2024-11-24 21:03:49,mobile-app,dev,22,1269,0.749,10,0,0.906,4.64,3.53,69,0,3.6,2,1,1
109,2025-02-20 21:03:49,mobile-app,prod,36,1615,0.833,0,0,0.93,8.16,1.78,25,4,3.2,3,6,0
110,2025-09-05 21:03:49,risk-engine,staging,25,1377,0.573,14,1,0.863,7.3,1.51,35,3,4.5,19,5,0
111,2025-07-03 21:03:49,payments,staging,30,1268,0.696,4,1,0.759,7.5,3.13,63,0,3.1,1,6,1
112,2025-04-21 21:03:49,risk-engine,prod,25,1669,0.65,11,2,0.911,6.9,2.77,15,6,3.6,22,0,1
113,2025-08-16 21:03:49,mobile-app,prod,19,2237,0.656,15,2,0.92,5.72,3.87,28,0,1.7,17,6,1
114,2025-04-02 21:03:49,onboarding,staging,20,2924,0.546,13,2,0.861,6.28,0.67,37,9,2.7,7,1,0
115,2025-07-17 21:03:49,mobile-app,dev,2,1884,0.709,6,2,0.853,4.94,3.61,18,7,1.7,1,6,1
116,2024-09-25 21:03:49,core-banking,qa,15,1182,0.727,12,2,0.898,5.57,1.56,28,6,1.7,10,5,1
117,2025-02-16 21:03:49,core-banking,qa,39,1803,0.589,15,2,0.854,6.63,2.51,45,1,2.5,23,3,1
118,2025-01-16 21:03:49,onboarding,qa,42,2860,0.617,12,1,0.838,4.74,1.94,22,3,1.9,7,3,1
119,2025-06-23 21:03:49,payments,dev,21,1229,0.727,5,1,0.99,6.59,1.65,37,0,4.8,9,3,1
120,2025-03-21 21:03:49,internet-banking,dev,31,2227,0.831,4,0,0.981,2.68,2.99,38,3,1.2,5,3,1
121,2024-10-23 21:03:49,internet-banking,prod,20,1476,0.764,10,0,0.907,2.16,3.48,34,4,4.3,19,1,1
122,2025-01-20 21:03:49,payments,qa,26,1222,0.786,16,1,0.879,1.78,3.77,49,5,2.2,22,3,0
123,2025-02-25 21:03:49,internet-banking,qa,22,1948,0.726,6,1,0.946,6.18,3.22,31,8,2.2,12,0,1
124,2025-03-28 21:03:49,internet-banking,staging,11,277,0.723,6,0,0.953,4.72,3.23,31,6,3.7,19,0,0
125,2024-10-22 21:03:49,core-banking,qa,11,1893,0.612,19,1,0.923,6.31,2.79,43,2,3.5,19,4,1
126,2024-11-25 21:03:49,onboarding,staging,14,402,0.793,21,0,0.77,7.45,4.42,29,4,1.0,5,4,0
127,2025-03-24 21:03:49,mobile-app,prod,30,2114,0.642,6,0,0.879,4.84,1.45,40,2,2.0,10,1,0
128,2025-03-28 21:03:49,core-banking,staging,31,803,0.723,12,2,0.935,4.44,3.51,41,0,4.5,11,2,1
129,2025-03-17 21:03:49,core-banking,qa,10,843,0.823,2,1,0.896,3.62,2.42,22,6,4.0,17,3,0
130,2025-03-24 21:03:49,mobile-app,dev,11,2462,0.717,6,0,0.836,3.45,3.09,20,0,2.8,16,4,1
131,2025-01-06 21:03:49,core-banking,prod,45,1533,0.745,3,2,0.917,3.95,3.91,20,3,2.6,16,3,1
